Supplemental Data. Flowers et al. (2015). Plant Cell Plant Cell 10.1105/tpc.15.00492
Gene_ID	Transcript_ID	piN	piS	piNpiS	Nonsynonymous	Synonymous
Cre01.g003600	Cre01.g003600.t1.2	0	0	NA	0	0
Cre01.g003650	Cre01.g003650.t2.1	0.0186121536108882	0.038055020990764	0.489085359206749	59	47
Cre01.g003700	Cre01.g003700.t1.2	0.0173482838286275	0.0439834341658733	0.394427678457359	135	138
Cre01.g003750	Cre01.g003750.t1.3	0.0143358147273144	0.0461011933320478	0.310964070367105	206	335
Cre01.g003800	Cre01.g003800.t1.3	0.0133442497260959	0.0340685089713513	0.391688692255867	176	213
Cre01.g003850	Cre01.g003850.t1.3	0.0022704353574128	0.0240089126308837	0.0945663550998243	7	29
Cre01.g004000	Cre01.g004000.t1.2	0.000742731980447876	0.0345755557792687	0.0214814184098586	1	13
Cre01.g004050	Cre01.g004050.t1.2	0.00904793444704326	0.0256748145445726	0.352405055597798	5	4
Cre01.g004124	Cre01.g004124.t1.3	0.00151941772535734	0.0111463390984739	0.136315404720225	27	59
Cre01.g004157	Cre01.g004157.t1.2	0.00996001123135608	0.0482172759026681	0.206565199814719	134	302
Cre01.g004200	Cre01.g004200.t1.2	0.00658566980870236	0.0451173774765705	0.145967478099149	38	106
Cre01.g004250	Cre01.g004250.t1.2	0.00066558619840459	0.0293102611806496	0.0227082998101704	1	6
Cre01.g004300	Cre01.g004300.t1.2	0.000755915766444407	0.0341201053177884	0.0221545554858037	2	39
Cre01.g004350	Cre01.g004350.t1.2	0.00149162746875897	0.036276857414511	0.0411178799672516	7	62
Cre01.g004400	Cre01.g004400.t1.2	0.00208587986935916	0.021549303825959	0.0967956963345812	2	7
Cre01.g004450	Cre01.g004450.t1.2	0.00377832959615646	0.0206600037062864	0.182881361004151	6	12
Cre01.g004500	Cre01.g004500.t1.2	0.000162145115013584	0.032129053806124	0.00504668192197674	1	36
Cre01.g004550	Cre01.g004550.t1.2	0.00369638876341943	0.0428603518570866	0.0862426135871366	32	136
Cre01.g004600	Cre01.g004600.t1.3	0.0109735327513911	0.0354220550727199	0.309793791717137	219	296
Cre01.g004650	Cre01.g004650.t1.2	0.0123117653161411	0.024990501934771	0.492657784476544	14	12
Cre01.g004700	Cre01.g004700.t1.2	0.00339755108726324	0.0423109414498001	0.0802995861317403	6	24
Cre01.g004750	Cre01.g004750.t2.1	0.0135217166941288	0.0267200133882083	0.506052017926609	27	21
Cre01.g004800	Cre01.g004800.t1.2	0.00267390568516492	0.0399093685339953	0.0669994485852928	10	45
Cre01.g004850	Cre01.g004850.t1.3	0.0153772872568217	0.0429318504847449	0.35817899958181	143	181
Cre01.g004900	Cre01.g004900.t1.2	0.00540437586518264	0.0436077113406929	0.123931655641361	6	22
Cre01.g004950	Cre01.g004950.t1.3	0.0021355927559935	0.0367656141205174	0.058086687984948	4	16
Cre01.g005000	Cre01.g005000.t1.3	0.00882202012151562	0.0473861977456447	0.186172779020373	10	20
Cre01.g005050	Cre01.g005050.t1.1	0.00100535556107718	0.0234562125134124	0.0428609503986336	8	38
Cre01.g005100	Cre01.g005100.t1.3	0.0102578058734447	0.0308689010860528	0.332302269032808	18	21
Cre01.g005150	Cre01.g005150.t1.1	0.000822879921922208	0.0303693540786561	0.0270957334091125	3	31
Cre01.g005200	Cre01.g005200.t1.3	0.00456442478809732	0.0312064048460106	0.146265640358788	26	73
Cre01.g005400	Cre01.g005400.t1.3	0.00392273880046108	0.0284606679871304	0.13783017328458	7	15
Cre01.g005450	Cre01.g005450.t1.2	0.00312008473875014	0.0276430732279541	0.112870400227242	5	9
Cre01.g005500	Cre01.g005500.t1.2	0.00414587008155628	0.032234723349866	0.128615035300854	27	82
Cre01.g005534	Cre01.g005534.t1.2	0.0105824834532442	0.0296692661380856	0.356681672003332	7	9
Cre01.g005550	Cre01.g005550.t1.2	0.00271166776990507	0.024021080738792	0.112887001188333	4	9
Cre01.g005650	Cre01.g005650.t1.2	0.0100024527311104	0.041714716831485	0.239782347594911	13	19
Cre01.g005750	Cre01.g005750.t1.3	0.00674749732858885	0.031098908059857	0.216968946806806	20	30
Cre01.g005850	Cre01.g005850.t1.2	0.00297790526184822	0.0170454434514166	0.174703889067828	4	7
Cre01.g005950	Cre01.g005950.t1.2	0.00413028156675635	0.0536998528037326	0.0769142064849248	11	50
Cre01.g006000	Cre01.g006000.t1.3	0.018957443247172	0.0476537995577985	0.397815985778401	77	67
Cre01.g006050	Cre01.g006050.t1.3	0.0115481394086695	0.0380195188485692	0.30374238702666	92	132
Cre01.g006100	Cre01.g006100.t1.2	0.00506482713709476	0.0379388326063628	0.133499815074577	7	15
Cre01.g006300	Cre01.g006300.t1.3	0	0	NA	0	0
Cre01.g006500	Cre01.g006500.t1.3	0.00162642740470638	0.00462336280339536	0.351784507050139	16	16
Cre01.g006550	Cre01.g006550.t1.3	0.00350850683168137	0.00860847003821382	0.407564505203222	5	3
Cre01.g006800	Cre01.g006800.t1.3	0.00235876434788662	0.0164396317509053	0.143480364014646	7	23
Cre01.g006850	Cre01.g006850.t1.2	0.00769820534156624	0.0313500815704831	0.245556150284926	7	8
Cre01.g006900	Cre01.g006900.t1.3	0.0088634409745364	0.0440965221116989	0.201000907783268	107	211
Cre01.g006950	Cre01.g006950.t2.1	0.000207935270713738	0.0217082433321841	0.00957863183731034	1	26
Cre01.g007000	Cre01.g007000.t1.2	0.00188762949883864	0.0417230793352016	0.0452418548418611	7	66
Cre01.g007050	Cre01.g007050.t1.2	0.00142820715262526	0.0428228497723448	0.0333515205134152	2	15
Cre01.g007100	Cre01.g007100.t1.3	0.0195753359030796	0.0389458503692622	0.502629566885238	183	145
Cre01.g007150	Cre01.g007150.t1.3	0.00959605980210345	0.0456689862312056	0.210122023587782	34	69
Cre01.g007200	Cre01.g007200.t1.2	0.00265942039938483	0.0302800175837121	0.0878275711707434	14	44
Cre01.g007300	Cre01.g007300.t1.2	0.00719590358383742	0.0391539486234951	0.183784875774174	21	43
Cre01.g007350	Cre01.g007350.t1.2	0.00182992617374867	0.0233712492027901	0.0782981755861901	3	22
Cre01.g007400	Cre01.g007400.t1.3	0.0100450577846229	0.0193436289186137	0.519295413848479	32	26
Cre01.g007450	Cre01.g007450.t1.3	0.0135008807997617	0.0478891686730472	0.281919297700406	41	63
Cre01.g007500	Cre01.g007500.t2.1	0.00999837603212047	0.0456037693123382	0.219244509453638	75	135
Cre01.g007550	Cre01.g007550.t1.3	0.00514985708116781	0.0682020408402175	0.0755088413443932	13	68
Cre01.g007700	Cre01.g007700.t1.2	0.00510146061568312	0.0428915362029913	0.118938631424615	17	52
Cre01.g007850	Cre01.g007850.t1.2	0.000526505608600996	0.0394791556012536	0.0133362935600446	1	13
Cre01.g007901	Cre01.g007901.t3.1	0.0133368586582927	0.0539256115007861	0.247319562766539	53	103
Cre01.g007950	Cre01.g007950.t1.3	0.00425921031768933	0.0469469278573625	0.090723941098552	9	41
Cre01.g008000	Cre01.g008000.t1.2	0.0069215755655738	0.0832452570137719	0.0831467859415547	14	72
Cre01.g008150	Cre01.g008150.t1.3	0.0208216877168235	0.05324244949342	0.391073061343595	217	259
Cre01.g008200	Cre01.g008200.t1.3	0.0136091023178318	0.0527900892560575	0.257796539267457	70	120
Cre01.g008250	Cre01.g008250.t1.2	0.02069879400852	0.0450607631983291	0.459352938995218	122	135
Cre01.g008300	Cre01.g008300.t1.3	0.0192359136373564	0.0520373395204029	0.369655978085013	42	45
Cre01.g008350	Cre01.g008350.t1.3	0.0103589659680189	0.0483784607627358	0.214123512916683	36	63
Cre01.g008450	Cre01.g008450.t1.2	0.00271426969112119	0.0410103693887701	0.0661849608178472	8	53
Cre01.g008500	Cre01.g008500.t1.2	0.00664219907530835	0.0666954779376218	0.0995899464356577	30	94
Cre01.g008550	Cre01.g008550.t1.3	0.00158912852284855	0.048262277832533	0.0329269274932012	5	66
Cre01.g008600	Cre01.g008600.t1.3	0.0120765218425216	0.0534195694559842	0.226069247010165	110	206
Cre01.g008650	Cre01.g008650.t1.3	0.025779479021544	0.0482622008711016	0.534154650145269	279	226
Cre01.g008700	Cre01.g008700.t1.2	0.00895249585859691	0.0593766704686308	0.150774635693434	14	51
Cre01.g008800	Cre01.g008800.t1.3	0.0194211689940572	0.0415147645873685	0.467813540245063	101	76
Cre01.g008850	Cre01.g008850.t1.3	0.0141033112501775	0.0459420661298129	0.306980343686058	312	396
Cre01.g008891	Cre01.g008891.t1.2	0.0135392128578142	0.0324369709413362	0.417400653171361	35	37
Cre01.g008900	Cre01.g008900.t1.2	0.00564667126086336	0.0182294861637833	0.309754823044967	17	25
Cre01.g008950	Cre01.g008950.t2.1	0.00109587612758333	0	NA	1	0
Cre01.g009000	Cre01.g009000.t1.3	0.00426376921609097	0.0141956997269889	0.30035639652089	11	12
