Supplemental Data. Flowers et al. (2015). Plant Cell Plant Cell 10.1105/tpc.15.00492
ID	n	Annotation_Type	Median_ratio	IQR	Mean_ratio	Standard_error
PF00483	7	PFAM	0.0345216357344795	0.0492571199997982	0.0498348671467341	0.0224057723652571
PF01916	2	PFAM	0.0498543197283704	0.0142183190812781	0.0498543197283704	0.0142183190812782
PF04791	2	PFAM	0.0499010508683993	0.0274825719887101	0.0499010508683993	0.02748257198871
PF01134	1	PFAM	0.0499232755988492	0	0.0499232755988492	NA
PF04107	1	PFAM	0.0499378660887291	0	0.0499378660887291	NA
PF03178	3	PFAM	0.043536563164295	0.0516095134083007	0.0499547545404619	0.0299690771721308
PF01136	1	PFAM	0.0499666761337792	0	0.0499666761337792	NA
PF12392	1	PFAM	0.0499666761337792	0	0.0499666761337792	NA
PF10178	1	PFAM	0.0500691977682009	0	0.0500691977682009	NA
PF08216	1	PFAM	0.0500807839235105	0	0.0500807839235105	NA
PF06803	1	PFAM	0.0503919815265609	0	0.0503919815265609	NA
PF04819	2	PFAM	0.0504202134486689	0.0269756117296246	0.0504202134486689	0.0269756117296246
PF01268	1	PFAM	0.050425700555168	0	0.050425700555168	NA
PF01096	3	PFAM	0	0.075778646377261	0.0505190975848407	0.0505190975848407
PF11715	1	PFAM	0.050638374690351	0	0.050638374690351	NA
PF04136	1	PFAM	0.0506570311893089	0	0.0506570311893089	NA
PF02678	2	PFAM	0.0506914016114556	0.0123437085281128	0.0506914016114556	0.0123437085281128
PF00162	2	PFAM	0.0507544488823875	0.0507544488823875	0.0507544488823875	0.0507544488823875
PF00717	3	PFAM	0.0193584980576136	0.059106716496732	0.0507868400213712	0.0375695330641209
PF03998	1	PFAM	0.0508386259801462	0	0.0508386259801462	NA
PF03106	1	PFAM	0.0508857386372137	0	0.0508857386372137	NA
PF03896	1	PFAM	0.0508957076474214	0	0.0508957076474214	NA
PF03255	1	PFAM	0.050906059092189	0	0.050906059092189	NA
PF05026	1	PFAM	0.0509134463941043	0	0.0509134463941043	NA
PF01274	1	PFAM	0.0509441382323229	0	0.0509441382323229	NA
PF08662	2	PFAM	0.0509570237539994	0.0439968134234945	0.0509570237539994	0.0439968134234945
PF08327	1	PFAM	0.0510649879720803	0	0.0510649879720803	NA
PF08449	7	PFAM	0.0439205655044446	0.0339285861515198	0.051100004449261	0.0146692114244435
PF01747	2	PFAM	0.0512677833535962	0.0219078134399209	0.0512677833535962	0.0219078134399209
PF00289	6	PFAM	0.0460246665399712	0.0377574522453531	0.0513762371679318	0.0147934372172842
PF02786	6	PFAM	0.0460246665399712	0.0377574522453531	0.0513762371679318	0.0147934372172842
PF04037	1	PFAM	0.0514383507152432	0	0.0514383507152432	NA
PF09416	1	PFAM	0.0514766710646309	0	0.0514766710646309	NA
PF03224	1	PFAM	0.0516347811812805	0	0.0516347811812805	NA
PF11698	1	PFAM	0.0516347811812805	0	0.0516347811812805	NA
PF04729	1	PFAM	0.0516379301961993	0	0.0516379301961993	NA
PF01496	3	PFAM	0.0510469023579093	0.0219420687835249	0.051700850027039	0.0126724782917734
PF01259	1	PFAM	0.0518860734586848	0	0.0518860734586848	NA
PF07304	1	PFAM	0.051968848206426	0	0.051968848206426	NA
PF03735	1	PFAM	0.0519796259708284	0	0.0519796259708284	NA
PF00562	3	PFAM	0.0170271466348324	0.0580820809845424	0.0520474394099025	0.0378300753855697
PF04560	3	PFAM	0.0170271466348324	0.0580820809845424	0.0520474394099025	0.0378300753855697
PF04561	3	PFAM	0.0170271466348324	0.0580820809845424	0.0520474394099025	0.0378300753855697
PF04563	3	PFAM	0.0170271466348324	0.0580820809845424	0.0520474394099025	0.0378300753855697
PF04565	3	PFAM	0.0170271466348324	0.0580820809845424	0.0520474394099025	0.0378300753855697
